,Name_Index
USA,1
PLW,2
BRB,3
NOR,4
LBR,5
RUS,6
EGY,7
POL,8
SSD,9
BHS,10
IRQ,11
GHA,12
SOM,13
PRT,14
GTM,15
HTI,16
SLE,17
SAU,18
BEN,19
LBN,20
LUX,21
ITA,22
DOM,23
JPN,24
BEL,25
BRA,26
SLV,27
BFA,28
KWT,29
NPL,30
TCD,31
SDN,32
GEO,33
KOR,34
NGA,35
UKR,36
CAN,37
GBR,38
DEU,39
BIH,40
KAZ,41
MOZ,42
CAF,43
JOR,44
ETH,45
KEN,46
ZAF,47
DJI,48
ARM,49
AZE,50
KGZ,51
TJK,52
MKD,53
XKS,54
SRB,55
LKA,56
IND,57
BGD,58
PAK,59
VNM,60
KHM,61
MMR,62
PNG,63
PHL,64
IDN,65
HND,66
MEX,67
PER,68
COD,69
COG,70
MAR,71
ZMB,72
MWI,73
UGA,74
TZA,75
SEN,76
MDG,77
MLI,78
RWA,79
THA,80
NZL,81
BLR,82
AUS,83
NLD,84
AUT,85
LBY,86
BDI,87
CRI,88
DNK,89
COL,90
URY,91
GRC,92
AFG,93
TGO,94
ARE,95
UZB,96
SWZ,97
CMR,98
AGO,99
TUN,100
TKM,101
PRY,102
CHL,103
MDA,104
ATA,105
MNE,106
ALB,107
MDV,108
TTO,109
HRV,110
ECU,111
ROU,112
CIV,113
ISR,114
NER,115
GIN,116
SYR,117
MRT,118
LAO,119
NAM,120
QAT,121
ISL,122
TUR,123
GMB,124
CPV,125
FRA,126
LTU,127
PAN,128
OMN,129
VUT,130
BGR,131
ARG,132
ESP,133
CHN,134
BMU,135
VGB,136
GUY,137
ZWE,138
NIC,139
MNG,140
YEM,141
XWB,142
BWA,143
FJI,144
GAB,145
UMI,146
LVA,147
HUN,148
VEN,149
TWN,150
HKG,151
ERI,152
JAM,153
CYP,154
CHE,155
CUB,156
MHL,157
BHR,158
SGP,159
FSM,160
BLZ,161
EST,162
DZA,163
LSO,164
SVK,165
SVN,166
SWE,167
BOL,168
TLS,169
IRL,170
CZE,171
STP,172
SUR,173
FIN,174
MYS,175
SLB,176
XGZ,177
XQZ,178
MLT,179
ABW,180
BRN,181
MUS,182
CUW,183
KNA,184
GRL,185
WSM,186
