,Name_Index
EXECUTIVE OFFICE OF THE PRESIDENT,1
UNITED STATES TRADE AND DEVELOPMENT AGENCY,2
PEACE CORPS,3
FOREST SERVICE,4
US CENSUS BUREAU,5
U.S. MARSHALS SERVICE,6
AGRICULTURAL RESEARCH SERVICE,7
NATURAL RESOURCES CONSERVATION SERVICE,8
"USDA, OFFICE OF OPERATIONS",9
"USDA, OFFICE OF THE CHIEF INFORMATION OFFICER",10
"USDA, OFFICE OF GENERAL COUNSEL",11
"USDA, OFFICE OF ASSISTANT SECRETARY OF CIVIL RIGHTS",12
"USDA, OFFICE OF HOMELAND SECURITY AND EMERGENCY COORDINATION",13
FOREIGN AGRICULTURAL SERVICE,14
FARM PRODUCTION AND CONSERVATION BUSINESS CENTER,15
FOOD AND NUTRITION SERVICE,16
"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",17
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,18
"USDA, OFFICE OF HUMAN RESOURCE MANAGEMENT",19
"USDA, OFFICE OF EXECUTIVE SECRETARIAT",20
"USDA, OFFICE OF THE CHIEF ECONOMIST",21
RURAL HOUSING SERVICE,22
NATIONAL AGRICULTURAL STATISTICS SERVICE,23
ECONOMIC RESEARCH SERVICE,24
NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,25
AGRICULTURAL MARKETING SERVICE,26
FOOD SAFETY AND INSPECTION SERVICE,27
"USDA, DEPARTMENTAL ADMINISTRATION",28
FARM SERVICE AGENCY,29
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,30
NATIONAL TECHNICAL INFORMATION SERVICE,31
OFFICE OF THE SECRETARY,32
BUREAU OF ECONOMIC ANALYSIS,33
INTERNATIONAL TRADE ADMINISTRATION,34
MINORITY BUSINESS DEVELOPMENT AGENCY,35
NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,36
BUREAU OF INDUSTRY AND SECURITY,37
ECONOMIC DEVELOPMENT ADMINISTRATION,38
US PATENT AND TRADEMARK OFFICE,39
BUREAU OF INDIAN AFFAIRS,40
