image_file_path,image_id,image_class,annotation_file_path,annotation_id,annotation_class,annotation_breed,label
Images/n02085620-Chihuahua/n02085620_10074.jpg,n02085620_10074,n02085620,Annotation/n02085620-Chihuahua/n02085620_10074,n02085620_10074,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_10131.jpg,n02085620_10131,n02085620,Annotation/n02085620-Chihuahua/n02085620_10131,n02085620_10131,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_10621.jpg,n02085620_10621,n02085620,Annotation/n02085620-Chihuahua/n02085620_10621,n02085620_10621,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1073.jpg,n02085620_1073,n02085620,Annotation/n02085620-Chihuahua/n02085620_1073,n02085620_1073,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_10976.jpg,n02085620_10976,n02085620,Annotation/n02085620-Chihuahua/n02085620_10976,n02085620_10976,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_11140.jpg,n02085620_11140,n02085620,Annotation/n02085620-Chihuahua/n02085620_11140,n02085620_11140,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_11238.jpg,n02085620_11238,n02085620,Annotation/n02085620-Chihuahua/n02085620_11238,n02085620_11238,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_11258.jpg,n02085620_11258,n02085620,Annotation/n02085620-Chihuahua/n02085620_11258,n02085620_11258,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_11337.jpg,n02085620_11337,n02085620,Annotation/n02085620-Chihuahua/n02085620_11337,n02085620_11337,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_11477.jpg,n02085620_11477,n02085620,Annotation/n02085620-Chihuahua/n02085620_11477,n02085620_11477,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1152.jpg,n02085620_1152,n02085620,Annotation/n02085620-Chihuahua/n02085620_1152,n02085620_1152,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_11696.jpg,n02085620_11696,n02085620,Annotation/n02085620-Chihuahua/n02085620_11696,n02085620_11696,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_11818.jpg,n02085620_11818,n02085620,Annotation/n02085620-Chihuahua/n02085620_11818,n02085620_11818,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_11948.jpg,n02085620_11948,n02085620,Annotation/n02085620-Chihuahua/n02085620_11948,n02085620_11948,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1205.jpg,n02085620_1205,n02085620,Annotation/n02085620-Chihuahua/n02085620_1205,n02085620_1205,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_12101.jpg,n02085620_12101,n02085620,Annotation/n02085620-Chihuahua/n02085620_12101,n02085620_12101,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_12334.jpg,n02085620_12334,n02085620,Annotation/n02085620-Chihuahua/n02085620_12334,n02085620_12334,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1235.jpg,n02085620_1235,n02085620,Annotation/n02085620-Chihuahua/n02085620_1235,n02085620_1235,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1271.jpg,n02085620_1271,n02085620,Annotation/n02085620-Chihuahua/n02085620_1271,n02085620_1271,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_12718.jpg,n02085620_12718,n02085620,Annotation/n02085620-Chihuahua/n02085620_12718,n02085620_12718,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1298.jpg,n02085620_1298,n02085620,Annotation/n02085620-Chihuahua/n02085620_1298,n02085620_1298,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_13151.jpg,n02085620_13151,n02085620,Annotation/n02085620-Chihuahua/n02085620_13151,n02085620_13151,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1321.jpg,n02085620_1321,n02085620,Annotation/n02085620-Chihuahua/n02085620_1321,n02085620_1321,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_13383.jpg,n02085620_13383,n02085620,Annotation/n02085620-Chihuahua/n02085620_13383,n02085620_13383,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1346.jpg,n02085620_1346,n02085620,Annotation/n02085620-Chihuahua/n02085620_1346,n02085620_1346,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_13964.jpg,n02085620_13964,n02085620,Annotation/n02085620-Chihuahua/n02085620_13964,n02085620_13964,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_14252.jpg,n02085620_14252,n02085620,Annotation/n02085620-Chihuahua/n02085620_14252,n02085620_14252,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_14413.jpg,n02085620_14413,n02085620,Annotation/n02085620-Chihuahua/n02085620_14413,n02085620_14413,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_14516.jpg,n02085620_14516,n02085620,Annotation/n02085620-Chihuahua/n02085620_14516,n02085620_14516,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1455.jpg,n02085620_1455,n02085620,Annotation/n02085620-Chihuahua/n02085620_1455,n02085620_1455,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1492.jpg,n02085620_1492,n02085620,Annotation/n02085620-Chihuahua/n02085620_1492,n02085620_1492,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1502.jpg,n02085620_1502,n02085620,Annotation/n02085620-Chihuahua/n02085620_1502,n02085620_1502,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1558.jpg,n02085620_1558,n02085620,Annotation/n02085620-Chihuahua/n02085620_1558,n02085620_1558,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1569.jpg,n02085620_1569,n02085620,Annotation/n02085620-Chihuahua/n02085620_1569,n02085620_1569,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1617.jpg,n02085620_1617,n02085620,Annotation/n02085620-Chihuahua/n02085620_1617,n02085620_1617,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1620.jpg,n02085620_1620,n02085620,Annotation/n02085620-Chihuahua/n02085620_1620,n02085620_1620,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1765.jpg,n02085620_1765,n02085620,Annotation/n02085620-Chihuahua/n02085620_1765,n02085620_1765,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1816.jpg,n02085620_1816,n02085620,Annotation/n02085620-Chihuahua/n02085620_1816,n02085620_1816,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1862.jpg,n02085620_1862,n02085620,Annotation/n02085620-Chihuahua/n02085620_1862,n02085620_1862,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_1916.jpg,n02085620_1916,n02085620,Annotation/n02085620-Chihuahua/n02085620_1916,n02085620_1916,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_199.jpg,n02085620_199,n02085620,Annotation/n02085620-Chihuahua/n02085620_199,n02085620_199,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2053.jpg,n02085620_2053,n02085620,Annotation/n02085620-Chihuahua/n02085620_2053,n02085620_2053,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2188.jpg,n02085620_2188,n02085620,Annotation/n02085620-Chihuahua/n02085620_2188,n02085620_2188,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2204.jpg,n02085620_2204,n02085620,Annotation/n02085620-Chihuahua/n02085620_2204,n02085620_2204,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2208.jpg,n02085620_2208,n02085620,Annotation/n02085620-Chihuahua/n02085620_2208,n02085620_2208,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_242.jpg,n02085620_242,n02085620,Annotation/n02085620-Chihuahua/n02085620_242,n02085620_242,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2479.jpg,n02085620_2479,n02085620,Annotation/n02085620-Chihuahua/n02085620_2479,n02085620_2479,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2507.jpg,n02085620_2507,n02085620,Annotation/n02085620-Chihuahua/n02085620_2507,n02085620_2507,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2517.jpg,n02085620_2517,n02085620,Annotation/n02085620-Chihuahua/n02085620_2517,n02085620_2517,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2590.jpg,n02085620_2590,n02085620,Annotation/n02085620-Chihuahua/n02085620_2590,n02085620_2590,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2614.jpg,n02085620_2614,n02085620,Annotation/n02085620-Chihuahua/n02085620_2614,n02085620_2614,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2650.jpg,n02085620_2650,n02085620,Annotation/n02085620-Chihuahua/n02085620_2650,n02085620_2650,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2693.jpg,n02085620_2693,n02085620,Annotation/n02085620-Chihuahua/n02085620_2693,n02085620_2693,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2706.jpg,n02085620_2706,n02085620,Annotation/n02085620-Chihuahua/n02085620_2706,n02085620_2706,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_275.jpg,n02085620_275,n02085620,Annotation/n02085620-Chihuahua/n02085620_275,n02085620_275,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2793.jpg,n02085620_2793,n02085620,Annotation/n02085620-Chihuahua/n02085620_2793,n02085620_2793,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2815.jpg,n02085620_2815,n02085620,Annotation/n02085620-Chihuahua/n02085620_2815,n02085620_2815,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2887.jpg,n02085620_2887,n02085620,Annotation/n02085620-Chihuahua/n02085620_2887,n02085620_2887,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2903.jpg,n02085620_2903,n02085620,Annotation/n02085620-Chihuahua/n02085620_2903,n02085620_2903,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2921.jpg,n02085620_2921,n02085620,Annotation/n02085620-Chihuahua/n02085620_2921,n02085620_2921,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2937.jpg,n02085620_2937,n02085620,Annotation/n02085620-Chihuahua/n02085620_2937,n02085620_2937,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2973.jpg,n02085620_2973,n02085620,Annotation/n02085620-Chihuahua/n02085620_2973,n02085620_2973,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_2981.jpg,n02085620_2981,n02085620,Annotation/n02085620-Chihuahua/n02085620_2981,n02085620_2981,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_3006.jpg,n02085620_3006,n02085620,Annotation/n02085620-Chihuahua/n02085620_3006,n02085620_3006,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_3033.jpg,n02085620_3033,n02085620,Annotation/n02085620-Chihuahua/n02085620_3033,n02085620_3033,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_3045.jpg,n02085620_3045,n02085620,Annotation/n02085620-Chihuahua/n02085620_3045,n02085620_3045,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_3093.jpg,n02085620_3093,n02085620,Annotation/n02085620-Chihuahua/n02085620_3093,n02085620_3093,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_3110.jpg,n02085620_3110,n02085620,Annotation/n02085620-Chihuahua/n02085620_3110,n02085620_3110,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_3208.jpg,n02085620_3208,n02085620,Annotation/n02085620-Chihuahua/n02085620_3208,n02085620_3208,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_326.jpg,n02085620_326,n02085620,Annotation/n02085620-Chihuahua/n02085620_326,n02085620_326,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_3402.jpg,n02085620_3402,n02085620,Annotation/n02085620-Chihuahua/n02085620_3402,n02085620_3402,n02085620,Chihuahua,0
Images/n02085620-Chihuahua/n02085620_3407.jpg,n02085620_3407,n02085620,Annotation/n02085620-Chihuahua/n02085620_3407,n02085620_3407,n02085620,Chihuahua,0
