Record ID,Date Published,Overall Rating,Passenger Country,Trip_verified,Comment title,Comment,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity
0,2024-02-03,10,United Kingdom,Not Verified,"""bang on time and smooth flights""",Flew back from Faro to London Luton Friday 2nd February. Ryanair in both directions was bang on time and smooth flights in both directions.  We always sit in Front for more space and this was very comfortable for just under a 3 hour flight. The cabin crew were polite and efficient with nice sense of humour especially and engagement especially Ethan and his female colleague at the front section. For their human touch [unlike sometimes the stand offish BA crews] merit a 10/10 marking,Boeing 737 900,Family Leisure,Economy Class,Faro,Luton,February 2024,4.0,5.0,3.0,4.0,4.0,yes,,
1,2024-01-26,10,United Kingdom,Trip Verified,"""Another good affordable flight""","Another good affordable flight with Ryanair. On time, pleasant staff at check-in and on board. We use Ryanair as our first choice on every flight we take.",,Couple Leisure,Economy Class,Belfast,Alicante,January 2024,3.0,5.0,3.0,5.0,5.0,yes,,
2,2024-01-20,10,United Kingdom,Trip Verified,“Really impressed!”,"Really impressed! You get what you pay for, this flight only cost £19.99. The seats were soft, and there was tons of legroom! (not in an emergency exit) The cabin was spotless. The colours were a little bright but it was good. Cheap and no frills! Highly recommend, flies almost everywhere,",Boeing 737-800,Couple Leisure,Economy Class,Edinburgh,Paris Beauvais,October 2023,5.0,5.0,4.0,5.0,5.0,yes,,
3,2024-01-07,6,United Kingdom,Trip Verified,“a decent offering from Ryanair”,"I should like to review my flight from Faro to Liverpool with Ryanair. I booked the seat with Ryanair several months before my planned travel and found the website clear and easy to use. Ryanair sent quite frequent emails relating to the flight and attempted to sell me extras. The check-in procedure was followed by a bag-drop at Faro Airport. This was not efficient and the app they recommended for speedy bag-drop did not work. Setting that aside, I was able to check-in my bag within less than 30 minutes of having arrived at the airport. Boarding was supposedly via group but this did not materialise at all. The cabin crew had a reasonable presence and delivered a serious safety procedure. During the flight the crew worked hard and had several rounds of drinks for sale. I found the seat suitable for a flight just under 3 hours. The flight departed on-time and arrived on schedule too. Disembarkation was delayed in Liverpool while this was not the fault of Ryanair, there was no communication with the passengers as to why this was the case. Disembarkation was not orderly and was poorly managed. Overall, a decent offering from Ryanair.",Boeing 737,Solo Leisure,Economy Class,Faro,Liverpool,January 2024,3.0,2.0,1.0,3.0,3.0,yes,,
4,2024-01-06,10,Israel,Trip Verified,“cabin crew were welcoming and friendly”,"Flight left the gate ahead of schedule, fare was really cheap and cabin crew were welcoming and friendly. Flight was so much cheaper than Aer Lingus and flying with Ryanair is a much better experience.",Boeing 737-800,Solo Leisure,Economy Class,Dublin,Manchester,January 2024,4.0,5.0,,4.0,5.0,yes,,
5,2024-01-06,1,Denmark,Not Verified,"""close online checkin 3 hours before""","Booked a fight from Copenhagen to Poland though booking.com Somewhere in the email from booking.com it states that checkin must be done online from home. I figure I'll do it in the morning since I have plenty of time. it's low season and I don't have any checked in luggage. I live in Copenhagen not far from the airport. Morning comes and I try to check in online. No luck, apparently they close online checkin 3 hours before the flight. I figure I'll just check in at the airport at those self serve terminals. I arrive at the airport 2 hours before my flight and head for a terminal. Prompt says: kindly go to service desk. Head for service desk. They charge me 42 euro to check me in. The flight itself was 57 euro. They almost charged me the price of the flight just to check me in manually! And they forced me to check in manually by closing online and self-serve checkin. This is Ryanair policy. Apparently. Wizzair and booking are not without blame either, as they decide who they want to do business with.",,Solo Leisure,Economy Class,Copenhagen,Gdansk,January 2024,2.0,2.0,2.0,1.0,1.0,no,2.0,2.0
6,2024-01-03,5,United Kingdom,Not Verified,"""they are really not better value""","The flight itself is operated by Malta air and I've always found their cabin crew to be very pleasant and respectful. That however cannot be said for their handling agents either in Pisa or Stansted. The Stansted bunch I have found to be rude, argumentative and hostile. Like they hate their work. Boarding no matter where is a shambles. You're invariably stuck in a freezing cold or roasting hot stairwell even before your aircraft reaches the gate. It's not a pleasant experience. Nowhere to sit. As budget airlines don't use jetties at the gate there is every chance that you're gonna get soaked going to and from the terminal in winter. Cabins are not the worst that I've been on. I'm a wee guy so 2hrs 30mins isn't too bad. As far as cheap fares go, I've yet to get a Ryaniar flight that I found to be value for money. All I can say about the flights is that they are generally uneventful and again the Malta Air crew are welcoming. I found that once you add on all of their ridiculous charges they are really not better value than companies like British Airways. It is worth remembering that whether you like Ryanair or not it gives us a choice.",Boeing 737,Business,Economy Class,Stansted,Pisa,December 2023,2.0,5.0,2.0,1.0,1.0,yes,,
7,2024-01-03,1,Australia,Trip Verified,"""asked me to pay for the backpack""","Staff is rude and has no manners, let alone be professional. I had a backpack with which I flew from Vienna to Paris through Ryanair without any issues. But while flying from Paris to Barcelona, they asked me to pay for the backpack. They have kept a small rack to check size of your carryon baggage, which is way smaller than the one we have in flight and as a result, high chances you will always end up paying. Because of this there was a long queue and one couple even missed their flight and instead of being considerate, they smiled and asked them to purchase ticket for another flight.",,Solo Leisure,Economy Class,Beauvais,Barcelona,January 2024,,,,1.0,1.0,no,,
8,2023-12-25,1,United Kingdom,Trip Verified,"""ground service staff is really bad""","Ryanair ground service staff is really bad. If you have a problem, they never listen and they never help. I had problems twice. I tried to explain my situation. They did not listen and they did not take me to the flight. I missed the flight because of their mistake. They did not even look at the evidence that I tried to show them. My family holiday became a tragedy.",,Family Leisure,Economy Class,Edinbrough,Tirana,December 2023,1.0,,,1.0,1.0,no,,
9,2023-12-08,1,Germany,Not Verified,"""they made us pay a No show fee""","I wanted to check in online a night before our flight, but my nationality was not listed in their websites and when we wanted to check in in person they asked for a fee, and that still was not a problem! They asked for a credit card to check for late check-in fee, we asked them to pay by our debit card or by cash, but they did not accept it. So we missed our flight, and they made us pay a No show fee on the application so that they give us another flight in the evening. The flight we got was about 30 Euro and the no show fee we paid was 100 Euro. When I told them in Germany we can pay by debit card or cash, they said we are an Irish airline it has nothing to do with Germany! Then why do you have your business here? The other thing is when I mentioned my nationality was not listed on your website they did not accept that and they inserted my nationality manually!",,Couple Leisure,Economy Class,Cologne,Palma de Mallorca,November 2023,1.0,1.0,,1.0,1.0,no,,
