MP,PTS,PER,VORP,WS,TOV,STL%,BPM,Rk_Year,AST%
25.5,9.0,11.4,-0.2,1.2,1.5,1.6,-2.5,16,18.4
35.4,27.3,24.0,3.3,9.0,2.4,1.5,3.0,7,20.6
21.5,9.9,11.9,0.0,1.3,1.4,1.4,-2.0,18,14.0
29.6,20.5,20.4,2.4,4.9,2.5,0.8,2.3,30,14.8
9.9,4.0,14.0,0.0,1.3,0.3,0.9,-2.0,14,6.2
15.2,2.9,5.7,-0.8,0.1,0.7,1.4,-5.1,10,18.1
11.2,3.5,7.8,-0.2,0.0,0.3,2.1,-3.6,14,7.4
8.4,2.5,13.6,0.0,1.4,0.3,1.6,-1.7,1,8.5
23.5,6.7,10.6,0.3,3.1,0.9,1.6,-1.2,12,6.5
15.6,6.4,12.8,0.3,1.1,0.9,1.5,-0.1,18,9.3
27.3,9.2,11.5,0.0,2.8,1.7,1.3,-2.0,18,26.0
26.1,8.9,11.9,1.0,3.8,0.8,2.2,0.0,7,5.7
21.3,6.8,10.6,0.3,1.8,1.1,1.5,-1.0,29,12.5
27.0,8.5,9.9,-0.5,1.1,1.8,2.0,-2.9,13,17.2
26.1,7.6,9.4,-1.1,1.2,1.8,1.4,-4.2,14,25.7
17.5,5.1,16.0,0.9,5.2,0.8,1.4,0.6,2,4.8
25.8,12.0,20.1,1.2,7.9,1.3,0.9,0.3,7,4.4
35.9,23.7,20.2,3.4,7.1,2.9,2.2,3.1,13,16.1
25.9,13.2,14.1,0.7,3.2,0.6,1.2,-0.1,28,5.8
15.9,5.2,10.1,0.1,1.5,0.5,0.9,-1.4,11,8.6
31.4,19.0,21.1,1.9,6.4,2.0,1.4,2.1,5,9.8
16.3,6.2,9.9,-0.1,0.8,0.9,1.2,-2.2,8,9.5
17.1,3.8,8.1,-0.3,0.1,1.1,3.0,-2.8,24,19.4
33.4,25.1,27.6,5.7,12.0,2.2,1.5,8.9,1,23.1
18.4,7.3,13.0,-0.1,0.7,1.3,2.0,-2.4,29,30.5
9.7,4.1,13.6,0.2,0.6,0.8,3.1,-0.4,16,19.5
26.4,10.2,14.9,0.8,4.1,1.5,2.2,-0.4,14,24.3
17.1,5.1,7.3,-0.3,0.6,0.9,1.5,-3.3,15,9.3
17.2,6.4,8.5,-0.8,0.8,1.1,1.3,-4.6,27,9.6
35.9,27.0,24.1,4.8,10.4,2.6,1.3,5.0,16,28.7
27.9,16.7,26.3,4.8,9.7,2.3,1.5,7.3,18,28.8
12.5,2.5,7.5,0.0,0.5,0.7,3.0,-2.2,22,9.2
30.2,11.0,14.9,1.4,4.6,1.3,2.5,0.5,13,8.4
14.8,6.8,13.1,0.1,2.3,0.7,1.7,-1.5,1,11.2
22.9,7.1,15.7,1.0,3.5,0.9,2.8,0.6,28,9.7
37.4,22.4,22.9,4.6,10.1,2.9,2.0,6.1,7,29.9
27.8,10.3,16.7,1.0,5.6,1.0,1.8,0.2,20,9.1
24.2,10.5,12.6,0.7,3.3,0.5,1.2,-0.1,17,7.1
24.6,8.0,11.7,1.3,4.0,0.7,1.7,0.8,12,11.5
25.9,10.2,14.2,1.0,4.5,0.9,0.8,-0.1,19,8.6
16.5,5.4,8.9,-0.4,1.4,0.5,0.5,-3.3,16,8.4
11.9,2.7,8.4,0.0,0.9,0.3,1.8,-2.0,6,3.9
17.7,6.2,14.4,1.0,3.4,0.8,1.2,1.1,11,11.9
19.2,5.5,6.9,-0.5,0.5,0.9,0.9,-4.4,15,6.1
21.9,7.8,10.9,-0.1,1.4,1.6,1.8,-2.3,8,20.4
15.5,6.0,10.1,0.1,2.1,0.5,1.7,-1.6,10,5.5
29.2,14.7,13.2,-0.3,1.2,2.0,1.8,-2.5,28,14.4
13.8,5.0,9.5,-0.4,0.3,1.0,1.4,-3.7,13,20.7
25.5,10.8,15.0,0.2,4.0,1.3,1.0,-1.5,10,5.9
17.7,5.1,10.1,-0.2,2.6,0.8,1.4,-2.5,1,13.5
17.1,5.4,7.5,-1.1,0.1,1.3,1.5,-5.6,11,23.1
31.4,14.5,18.5,2.0,8.0,1.3,1.5,1.1,13,6.6
10.3,3.5,13.0,0.0,1.0,0.4,0.7,-2.4,4,12.2
28.0,10.4,14.4,-0.1,4.3,1.1,0.4,-2.2,15,5.6
29.8,13.7,15.9,1.8,5.8,1.2,1.9,1.4,17,16.6
18.4,6.5,13.1,0.6,3.1,0.5,1.3,-0.2,3,7.7
34.7,11.7,12.3,2.1,6.0,0.9,2.5,1.0,3,8.8
23.9,12.6,21.4,1.2,5.9,1.3,1.1,1.2,3,6.7
32.9,17.2,13.9,0.4,2.8,2.1,1.5,-1.3,26,14.8
8.5,2.9,18.8,0.4,1.8,0.3,1.9,1.4,8,2.5
25.1,13.1,13.1,-0.1,1.4,1.9,1.2,-2.3,30,14.6
29.0,9.2,14.3,0.7,5.8,0.7,1.7,-0.7,20,7.4
9.6,6.1,25.2,0.6,3.5,0.5,1.2,1.2,1,3.8
22.6,7.3,12.7,0.4,2.8,1.1,1.6,-1.0,30,20.3
21.9,9.5,15.2,1.6,5.1,1.3,1.9,1.6,2,24.3
33.9,18.2,17.4,1.9,6.8,1.3,0.9,1.4,18,9.1
26.0,10.0,13.1,0.3,1.8,1.5,1.8,-1.1,22,23.2
16.4,7.1,13.9,0.2,1.9,0.9,1.7,-1.3,27,8.8
25.9,11.0,14.0,0.1,2.4,2.2,1.0,-1.8,5,35.9
26.1,11.7,13.0,0.4,2.3,1.0,1.2,-1.2,20,13.5
34.0,18.1,17.9,2.4,6.4,2.3,1.9,2.1,11,17.9
22.8,9.0,10.7,-0.1,2.6,0.6,0.4,-2.3,10,5.9
10.3,4.2,11.5,0.0,0.5,0.6,1.8,-2.3,30,4.0
33.7,20.3,19.8,2.9,7.5,2.9,1.8,2.6,17,29.0
31.0,14.4,15.6,0.7,4.1,0.9,1.8,-0.6,29,5.8
16.1,6.1,10.6,-0.2,1.1,0.6,0.9,-2.9,5,5.1
24.0,10.6,14.5,1.1,3.8,1.1,1.6,0.7,15,6.9
9.6,2.8,10.7,0.1,0.6,0.5,1.7,-1.6,22,13.9
14.2,3.4,12.5,1.0,2.7,0.5,2.5,1.8,2,12.4
26.3,6.9,13.7,0.5,3.8,2.0,3.1,-1.0,27,37.5
32.4,17.3,18.6,1.7,7.2,1.4,1.0,0.8,2,9.9
20.2,7.9,10.4,-0.1,1.3,0.6,1.5,-2.3,23,9.4
18.4,9.7,17.0,0.7,2.7,0.6,1.2,0.5,20,11.3
8.6,1.7,12.7,0.2,1.3,0.3,2.4,-0.8,24,6.4
37.0,23.9,25.1,6.6,13.8,2.1,2.6,7.3,15,24.8
36.4,23.1,23.2,4.8,8.8,4.1,2.7,4.7,9,46.9
15.1,7.4,19.5,0.1,2.1,0.8,1.8,-1.3,29,5.2
20.3,4.3,7.7,-0.3,1.4,0.6,1.6,-2.6,22,6.0
18.8,6.6,9.9,-0.3,0.2,1.5,2.3,-3.2,15,20.0
37.2,18.9,14.6,0.9,3.0,1.8,1.2,0.1,24,12.6
18.7,7.5,13.9,1.1,3.0,1.4,3.2,1.4,2,20.8
26.2,10.1,12.1,0.9,3.7,1.0,1.0,0.0,5,9.4
12.4,2.9,14.8,0.3,3.0,0.5,1.8,-0.7,22,2.4
