VORP,PER,WS,FT,BPM,Rk_Conference,USG%,Trp Dbl,AST,2P%
1.1,13.2,3.8,2.0,-0.1,3.0,22.1,0.0,2.5,0.468
3.4,20.2,7.1,4.5,3.1,6.0,28.9,0.0,3.3,0.501
1.7,17.2,4.4,1.8,0.8,13.0,21.6,0.0609756097560975,6.5,0.509
0.8,15.4,6.8,1.3,-0.8,4.0,14.7,0.0,1.5,0.58
0.4,13.9,2.8,3.3,-1.3,13.0,23.5,0.0,3.0,0.491
1.7,17.9,4.7,4.1,0.7,12.0,29.1,0.0,2.9,0.466
0.5,13.7,3.8,0.9,-1.0,14.0,14.4,0.0,6.6,0.492
0.1,14.6,2.0,4.7,-1.9,15.0,28.6,0.0,3.4,0.447
0.9,13.5,5.2,1.8,-0.4,3.0,17.9,0.0,0.9,0.446
0.3,13.7,2.6,2.4,-1.3,15.0,18.7,0.0,2.0,0.463
1.9,19.1,4.0,1.4,1.4,13.0,24.8,0.0,2.8,0.481
0.6,14.5,3.7,2.0,-1.0,13.0,20.1,0.0,1.9,0.528
-0.3,7.2,0.4,0.5,-3.0,10.0,14.8,0.0,1.4,0.398
-0.1,13.5,2.9,2.7,-2.2,4.0,22.4,0.0,1.4,0.512
1.9,20.8,8.3,3.1,1.4,5.0,19.2,0.0,1.4,0.635
1.1,15.6,3.7,0.9,1.0,2.0,19.3,0.0,0.6,0.546
3.0,17.7,6.3,1.6,3.4,1.0,19.7,0.0,5.0,0.524
-0.1,10.4,1.3,0.7,-2.3,12.0,18.4,0.0,1.3,0.367
0.6,15.7,3.1,1.0,-0.6,15.0,18.7,0.0,1.9,0.546
1.8,15.9,5.8,2.7,1.4,9.0,20.9,0.0,3.2,0.46
-0.6,10.8,1.8,0.8,-3.9,8.0,13.1,0.0,0.4,0.492
1.4,23.7,5.8,3.1,1.7,6.0,27.3,0.0,0.9,0.568
4.8,23.2,8.8,5.4,4.7,4.0,30.6,0.0,10.7,0.48
7.1,27.6,13.6,6.3,9.4,2.0,31.1,0.0,3.5,0.529
1.1,13.9,3.0,1.2,1.4,2.0,20.4,0.0,2.7,0.387
-0.4,8.9,1.4,0.5,-3.3,8.0,15.5,0.0,1.0,0.436
2.2,18.1,6.0,2.1,2.0,9.0,18.1,0.0,3.5,0.541
1.0,14.2,4.5,1.3,-0.1,10.0,17.3,0.0,1.5,0.545
-0.8,7.3,0.2,0.8,-4.4,15.0,14.4,0.0,2.0,0.418
4.2,21.3,8.1,3.8,4.1,11.0,29.2,0.0,5.5,0.476
0.0,8.4,0.9,0.2,-2.0,4.0,12.5,0.0,0.3,0.537
1.4,18.5,5.7,1.0,1.8,2.0,16.9,0.0,1.6,0.59
6.7,26.1,12.4,5.9,7.3,7.0,28.3,0.0375,5.4,0.563
-0.1,15.0,3.0,1.9,-2.3,15.0,17.6,0.0,0.6,0.503
3.1,20.5,5.3,5.9,3.6,15.0,28.1,0.0151515151515151,6.3,0.477
4.6,20.3,7.7,3.8,5.2,7.0,26.4,0.027027027027027,4.6,0.48
2.8,19.9,7.6,3.4,2.0,8.0,27.5,0.0,3.6,0.506
4.4,23.3,14.3,3.8,4.4,5.0,16.7,0.0,1.2,0.662
0.2,15.0,4.0,1.4,-1.5,6.0,19.3,0.0,0.9,0.52
4.8,26.3,9.7,2.6,7.3,9.0,23.5,0.0821917808219178,4.9,0.628
1.3,17.4,4.5,3.0,0.3,12.0,24.3,0.0,1.5,0.493
1.1,13.8,4.0,1.1,0.5,6.0,18.4,0.0,0.6,0.471
-0.1,9.0,2.0,0.9,-2.3,2.0,14.0,0.0,1.4,0.469
0.1,18.9,2.3,1.0,-1.4,6.0,26.1,0.0,0.9,0.5
1.7,15.5,4.6,1.2,1.2,11.0,19.5,0.0,2.7,0.528
5.9,24.6,12.6,4.1,6.9,1.0,30.1,0.0,6.6,0.537
0.0,10.4,1.3,0.6,-1.8,7.0,21.7,0.0,0.7,0.336
0.5,14.9,3.5,2.0,-1.0,9.0,22.0,0.0,2.0,0.527
5.4,27.5,11.0,6.9,5.9,10.0,32.6,0.0,2.1,0.524
1.3,16.1,3.7,2.8,0.0,5.0,27.8,0.0,6.3,0.487
-0.2,10.1,2.6,0.6,-2.5,1.0,13.0,0.0,1.8,0.55
3.5,21.8,11.8,2.5,3.3,4.0,15.3,0.0,1.2,0.717
6.7,27.0,12.9,4.8,7.6,2.0,30.0,0.1756756756756756,8.7,0.611
0.3,16.3,2.9,1.3,-1.0,12.0,19.7,0.0,1.1,0.532
-0.2,12.8,1.0,2.1,-2.3,14.0,24.6,0.0,2.2,0.469
1.1,16.5,6.5,2.0,-0.2,6.0,16.2,0.0,1.1,0.572
-1.0,6.9,0.8,0.5,-4.5,6.0,15.4,0.0,1.0,0.438
-0.8,8.5,0.8,1.5,-4.6,14.0,17.8,0.0,1.1,0.475
-0.1,9.9,0.8,0.8,-2.2,5.0,21.7,0.0,1.0,0.4
1.3,11.7,4.0,1.2,0.8,7.0,14.9,0.0,1.8,0.418
1.8,16.8,6.1,3.4,0.9,13.0,17.4,0.0133333333333333,9.1,0.443
3.3,24.0,9.0,7.4,3.0,3.0,34.3,0.0,3.9,0.484
2.8,19.2,8.1,4.4,2.2,6.0,22.1,0.0,7.8,0.475
0.0,9.1,2.9,0.6,-1.9,9.0,12.3,0.0,1.6,0.488
0.9,16.0,5.2,0.9,0.6,2.0,12.3,0.0,0.6,0.622
